word,normalized_word,source,is_trusted,is_common,is_active,layer,include_in_runtime,include_as_candidate,review_state
অজয়চন্দ্র,অজয়চন্দ্র,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজয়া,অজয়া,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজয়ের,অজয়ের,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজরাময়,অজরাময়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজস্রধারায়,অজস্রধারায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজানায়,অজানায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজিতেন্দ্রিয়,অজিতেন্দ্রিয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজিয়র,অজিয়র,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজিয়ার,অজিয়ার,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজীর্ণতায়,অজীর্ণতায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজুখানায়,অজুখানায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজুগড়া,অজুগড়া,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজেয়,অজেয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজেয়কে,অজেয়কে,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজ্ঞতায়,অজ্ঞতায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজ্ঞাতপরিচয়,অজ্ঞাতপরিচয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজ্ঞাতপরিচয়ের,অজ্ঞাতপরিচয়ের,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অজ্ঞেয়,অজ্ঞেয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অঝরধারায়,অঝরধারায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অঝোরধারায়,অঝোরধারায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অঞ্চলগুলোয়,অঞ্চলগুলোয়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অঞ্চলজুড়ে,অঞ্চলজুড়ে,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অঞ্চলটায়,অঞ্চলটায়,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অঞ্চলবিষয়ক,অঞ্চলবিষয়ক,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটবিয়ানদের,অটবিয়ানদের,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটবিয়ানরা,অটবিয়ানরা,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
অটলবিহারীবাজপেয়িসহ,অটলবিহারীবাজপেয়িসহ,Bengali.txt,1,0,1,accepted_variants,1,1,normalized_surface_variant
